experiment,algorithm,run,T,epsilon,num_nodes,topology,avg_regret_per_round,avg_loss_per_round,mse
impact_privacy_budget,PTF-PBDOO-strong,8,100000,1.0,9,grid3x3,10.074953992596459,10.576180294759032,0.4040662868984794
impact_privacy_budget,PTF-PBDOO-strong,9,100000,1.0,9,grid3x3,10.07213253082142,10.573493127222838,0.40546140086046345
impact_privacy_budget,BDOO-convex,0,100000,10.0,9,grid3x3,0.02449609883158653,0.05720125936444038,0.04846724657513406
impact_privacy_budget,BDOO-convex,1,100000,10.0,9,grid3x3,0.018094289119054613,0.05082255849458145,0.04475074935244257
impact_privacy_budget,BDOO-convex,2,100000,10.0,9,grid3x3,0.013074221059703808,0.0459185505021572,0.03806474009727379
impact_privacy_budget,BDOO-convex,3,100000,10.0,9,grid3x3,0.015891096196746723,0.048534380062552694,0.042798134264556933
impact_privacy_budget,BDOO-convex,4,100000,10.0,9,grid3x3,0.01549104835820294,0.048035905369117525,0.04166714763334759
impact_privacy_budget,BDOO-convex,5,100000,10.0,9,grid3x3,0.01855507565521318,0.05111597966791163,0.04437980613947471
impact_privacy_budget,BDOO-convex,6,100000,10.0,9,grid3x3,0.015161502292432308,0.04794507108554806,0.041100273807304806
impact_privacy_budget,BDOO-convex,7,100000,10.0,9,grid3x3,0.018241861176869684,0.050829400602671895,0.04382851004584717
impact_privacy_budget,BDOO-convex,8,100000,10.0,9,grid3x3,0.02739988303149856,0.059992964602817986,0.05341578617529213
impact_privacy_budget,BDOO-convex,9,100000,10.0,9,grid3x3,0.020059868717526297,0.0528228529355653,0.04603005970234506
impact_privacy_budget,PBDOO-cor1,0,100000,10.0,9,grid3x3,2.5585866622780653,2.591291822810919,0.9307670594942651
impact_privacy_budget,PBDOO-cor1,1,100000,10.0,9,grid3x3,2.569237298945853,2.60196556832138,0.9406619678729925
impact_privacy_budget,PBDOO-cor1,2,100000,10.0,9,grid3x3,2.5593407904205487,2.592185119863002,0.9248890384611328
impact_privacy_budget,PBDOO-cor1,3,100000,10.0,9,grid3x3,2.5469715421123773,2.5796148259781835,0.9238535861072666
impact_privacy_budget,PBDOO-cor1,4,100000,10.0,9,grid3x3,2.579159944148489,2.6117048011594037,0.9415101352793287
impact_privacy_budget,PBDOO-cor1,5,100000,10.0,9,grid3x3,2.559260397252965,2.5918213012656635,0.926565101501578
impact_privacy_budget,PBDOO-cor1,6,100000,10.0,9,grid3x3,2.5496097810011187,2.5823933497942346,0.9180626331179697
impact_privacy_budget,PBDOO-cor1,7,100000,10.0,9,grid3x3,2.5550517550100458,2.587639294435848,0.9269579852866185
impact_privacy_budget,PBDOO-cor1,8,100000,10.0,9,grid3x3,2.566611952735623,2.599205034306942,0.9318448876419876
impact_privacy_budget,PBDOO-cor1,9,100000,10.0,9,grid3x3,2.558051211167816,2.590814195385855,0.9318111493044158
impact_privacy_budget,PTF-PBDOO-cor1,0,100000,10.0,9,grid3x3,0.30779762324526455,0.3405027837780788,0.13949723106709547
impact_privacy_budget,PTF-PBDOO-cor1,1,100000,10.0,9,grid3x3,0.30800251154444364,0.34073078091993503,0.13960832799256048
impact_privacy_budget,PTF-PBDOO-cor1,2,100000,10.0,9,grid3x3,0.30778831209691765,0.34063264153934103,0.13957521521611715
impact_privacy_budget,PTF-PBDOO-cor1,3,100000,10.0,9,grid3x3,0.3078733853556192,0.34051666922140317,0.13958818020484967
impact_privacy_budget,PTF-PBDOO-cor1,4,100000,10.0,9,grid3x3,0.30807280045180524,0.34061765746270495,0.13910104666737558
impact_privacy_budget,PTF-PBDOO-cor1,5,100000,10.0,9,grid3x3,0.30851771860309396,0.341078622615768,0.1397666625857361
impact_privacy_budget,PTF-PBDOO-cor1,6,100000,10.0,9,grid3x3,0.30816591939311144,0.34094948818620496,0.13993821641474732
impact_privacy_budget,PTF-PBDOO-cor1,7,100000,10.0,9,grid3x3,0.3080682496854928,0.3406557891112292,0.13958967746754505
impact_privacy_budget,PTF-PBDOO-cor1,8,100000,10.0,9,grid3x3,0.30812086097300734,0.34071394254427656,0.13930416733612572
impact_privacy_budget,PTF-PBDOO-cor1,9,100000,10.0,9,grid3x3,0.3089622452438464,0.34172522946183975,0.14016605726398884
impact_privacy_budget,PBDOO-strong,0,100000,10.0,9,grid3x3,7.539442621010163,8.040834293350446,0.3913402199966633
impact_privacy_budget,PBDOO-strong,1,100000,10.0,9,grid3x3,7.545509595742384,8.04685187012345,0.390237725510865
impact_privacy_budget,PBDOO-strong,2,100000,10.0,9,grid3x3,7.523386350480951,8.024734104473616,0.38923809015409944
impact_privacy_budget,PBDOO-strong,3,100000,10.0,9,grid3x3,7.526294219434032,8.02715400495019,0.38912834602081825
impact_privacy_budget,PBDOO-strong,4,100000,10.0,9,grid3x3,7.540711944397968,8.041792039260034,0.38799687683194817
impact_privacy_budget,PBDOO-strong,5,100000,10.0,9,grid3x3,7.5510377478296675,8.052103172501198,0.38834693679457083
impact_privacy_budget,PBDOO-strong,6,100000,10.0,9,grid3x3,7.537842915715556,8.039252876097716,0.3898192047127309
